Start Date	10/01/2017
End Date	11/04/2017
Report Type	Apple Music
Currency	AUD
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	ISRC	Item_Title	Item_Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AU	161548449	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEDR80600020	In the Jungle	Elijah Prophet	1	1	DEDR80600020	0	Pow Pow Productions	
AU	161548449	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEDR80600020	In the Jungle	Elijah Prophet	1	1	DEDR80600020	1	Pow Pow Productions	
AU	161548508	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEDR80600022	Music Is Life	Elijah Prophet	1	1	DEDR80600022	0	Pow Pow Productions	
AU	161548508	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEDR80600022	Music Is Life	Elijah Prophet	1	1	DEDR80600022	1	Pow Pow Productions	
AU	161548688	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650602413	King of Kings	Elijah Prophet	1	1	DEZ650602413	1	Pow Pow Productions	
AU	161548749	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEA610500264	Got to Be Concious	Elijah Prophet	1	1	DEA610500264	1	Pow Pow Productions	
AU	161548755	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650602345	Sensimillia Fi Bun	Elijah Prophet, DYCR	1	1	DEZ650602345	1	Pow Pow Productions	
AU	161548755	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650602345	Sensimillia Fi Bun	Elijah Prophet, DYCR	1	1	DEZ650602345	0	Pow Pow Productions	
AU	161548772	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEDR80600026	Mother Nature	Elijah Prophet	1	1	DEDR80600026	0	Pow Pow Productions	
AU	161548772	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEDR80600026	Mother Nature	Elijah Prophet	1	1	DEDR80600026	1	Pow Pow Productions	
AU	167167001	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEL220212247	Lovelee Dae (20:20 Vision Remix)	Blaze	1	1	DEL220212247	0	Playhouse	
AU	167254967	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600775	Rhythm Is Our Business	Jimmie Lunceford	1	1	GBKYB0600775	0	Past Perfect	
AU	167286573	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600970	The Girl Who Loves a Soldier	Leon Cortez	1	1	GBKYB0600970	0	Past Perfect	
AU	167286636	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600792	Run, Rabbit, Run	Flanagan & Allen	1	1	GBKYB0600792	1	Past Perfect	
AU	167286636	Indirect Individual Monthly EXTENDED TRIAL	20	.021330	.426600	GBKYB0600792	Run, Rabbit, Run	Flanagan & Allen	1	1	GBKYB0600792	0	Past Perfect	
AU	167288611	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600950	The Bombardier Song	Bing Crosby	1	1	GBKYB0600950	0	Past Perfect	
AU	167289213	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600170	Commando Patrol	RAF Dance Orchestra	1	1	GBKYB0600170	0	Past Perfect	
AU	167289426	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600442	I'm Saving a Dime (Out of Every Dollar)	Bing Crosby	1	1	GBKYB0600442	0	Past Perfect	
AU	167290121	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBKYB0600562	Lilli Marlene	Marlene Dietrich	1	1	GBKYB0600562	0	Past Perfect	
AU	168600116	Indirect Individual Monthly EXTENDED TRIAL	4	.021330	.085320	DEZ650602960	Taumel	Stoa	1	1	DEZ650602960	0	Alice In...	
AU	175625562	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEH330600503	For Better Moments	Chilling Crew	1	1	DEH330600503	1	Manifold Records	
AU	183317380	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DES870612205	Marilyn	Terrorgruppe	1	1	des870612205	0	Aggropop-Records	
AU	202613712	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEU970600619	Jump Jive An' Wail	Boppin' B	1	1	DEU970600619	0	NiWo Music	
AU	204409494	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEX050600040	Sexy	French Affair	1	1	DEX050600040	0	Score Music	
AU	204817898	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEZ650600862	Sounds Like a Melody	Alphaville	1	1	DEZ650600862	0	alphaville.	
AU	204817903	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650600863	Guardian Angel	Alphaville	1	1	DEZ650600863	0	alphaville.	
AU	204817988	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650600873	Apollo	Alphaville	1	1	DEZ650600873	0	alphaville.	
AU	208335990	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEY500600004	A Day In the Life of a Fool	Mark Chesnutt	1	1	DEY500600004	0	AGR Television Records	
AU	208336128	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEY500600008	Goodbye Comes Hard for Me	Mark Chesnutt	1	1	DEY500600008	0	AGR Television Records	
AU	208720969	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650610408	Hope / Scope	David Murray	1	1	DEZ650610408	0	Black Saint	
AU	210322940	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEY500600010	Find Out Who Your Friends Are	Tracy Lawrence	1	1	DEY500600010	0	AGR Television Records	
AU	210322959	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEY500600012	You Can't Hide Redneck	Tracy Lawrence	1	1	DEY500600012	0	AGR Television Records	
AU	210322984	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEY500600017	Til I Was a Daddy Too	Tracy Lawrence	1	1	DEY500600017	0	AGR Television Records	
AU	211268805	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEU970600546	The Look	Boppin' B	1	1	DEU970600546	0	NiWo Music	
AU	213142503	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEH330600668	I Loose My Mind	Brain 19	1	1	DEH330600668	0	Manifold Records	
AU	213621367	Indirect Individual Monthly EXTENDED TRIAL	14	.021330	.298620	DEW250601279	Let the Sunshine In	Milton Henry	1	1	DEW250601279	0	Wackies	
AU	215524566	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEW250300410	King In My Empire (With Cornel Campbell)	Rhythm & Sound	1	1	DEW250300410	1	Burial Mix	
AU	215524566	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250300410	King In My Empire (With Cornel Campbell)	Rhythm & Sound	1	1	DEW250300410	0	Burial Mix	
AU	215524570	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEW250300411	Queen In My Empire (With Jennifer Lara)	Rhythm & Sound	1	1	DEW250300411	1	Burial Mix	
AU	215524570	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250300411	Queen In My Empire (With Jennifer Lara)	Rhythm & Sound	1	1	DEW250300411	0	Burial Mix	
AU	215524574	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEW250300412	Jah Rule (With Paul St. Hilaire)	Rhythm & Sound	1	1	DEW250300412	1	Burial Mix	
AU	215524577	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEW250300413	We Been Troddin' (With Shalom)	Rhythm & Sound	1	1	DEW250300413	1	Burial Mix	
AU	215524581	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEW250300414	Mash Down Babylon (With the Chosen Brothers)	Rhythm & Sound	1	1	DEW250300414	1	Burial Mix	
AU	215524586	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250300415	Music Hit You (With Jah Batta)	Rhythm & Sound	1	1	DEW250300415	1	Burial Mix	
AU	215524590	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250300416	Best Friend (With Love Joy)	Rhythm & Sound	1	1	DEW250300416	1	Burial Mix	
AU	215524641	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250300417	Making History (With the Chosen Brothers)	Rhythm & Sound	1	1	DEW250300417	1	Burial Mix	
AU	215937218	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEU970600583	It's Got to Be Perfect	Boppin' B	1	1	DEU970600583	0	NiWo Music	
