Format version	Start date	End date	Sender	Recipient	Disclaimer
2	2017-10-01	2017-10-31	Spotify	Finetunes	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
BE	Diamond Records, Inc.	PDSNEI	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	6	0.04409310946430287867694947379
NL	Diamond Records, Inc.	KHB	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.004725488146546177056290315530
ES	Diamond Records, Inc.	FAM6	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.003123336693604147887623819052
CA	Diamond Records, Inc.	A	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.001408081889383866516001537753
US	Diamond Records, Inc.	A	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	5	0.009894193564078420700629089360
IT	Diamond Records, Inc.	A	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	2	0.001042593056903768913191366185
NO	Diamond Records, Inc.	TSA	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.006564037681689036281569932766
US	Diamond Records, Inc.	PDS	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	9	0.02255723330773248816712486860
AU	Diamond Records, Inc.	P	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	5	0.02713574446533536745127105835
ES	Diamond Records, Inc.	A	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.0003062415595875350748723957230
GB	Diamond Records, Inc.	P	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	7	0.05505656273739270797925513016
CA	Diamond Records, Inc.	ROG-MWA	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	2	0.009136702366430157064565253906
PL	Diamond Records, Inc.	P	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	1	0.002987383847750682203510714554
US	Diamond Records, Inc.	P	spotify:track:000QXahPr9eVWAtCocMcru	825049510897		USESK1601516	Cow Cow Boogie	Ella Mae Morse	Gene DePaul Berry Carter Don Raye	Ella Mae Morse at Her Best	22	0.1305830128580737351318981176
IE	BT-Music	P	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	1	0.008019019755346119733189906978
