Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
11/05/2017	12/02/2017		DEW930700006	DEW930700006	1	1.29	1.29	AUD	S	251843912	Nosliw	Wie weit	Rootdown Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH330601849	DEH330601849	1	1.29	1.29	AUD	S	257130012	Frank Borell	Dellbao	Manifold Records		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEZ650707483	DEZ650707483	1	1.29	1.29	AUD	S	257793247	Airstream	Electra	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017	822927000228		822927000228	1	5.99	5.99	AUD	S	257799279	The Rurals	Sweeter Sounds	Peng		I		AU			9.99	AUD
11/05/2017	12/02/2017		DEZ650510415	DEZ650510415	1	1.29	1.29	AUD	S	259066480	DJ Darkzone	infinity In Your Hands	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650705894	DEZ650705894	1	1.29	1.29	AUD	S	259328737	Callisto	Geoffrey Whiteman Remix	Skywarp Platinum		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650705895	DEZ650705895	1	1.29	1.29	AUD	S	259328855	Callisto	Original Mix	Skywarp Platinum		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW930700054	DEW930700054	1	1.29	1.29	AUD	S	260277577	Nosliw	Mehr Davon	Rootdown Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEE289881204	DEE289881204	1	1.29	1.29	AUD	S	260397191	Jeff Hamilton Trio	Move	Mons Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW930700038	DEW930700038	1	1.29	1.29	AUD	S	260514475	Lutan Fyah	When Mi Rise It	Rootdown Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEEC60300009	DEEC60300009	1	1.29	1.29	AUD	S	264370522	Dapayk & Padberg	Big City Club	Mo's Ferry Productions		H		AU			2.19	AUD
11/05/2017	12/02/2017	4046661068924		4046661068924	1	9.99	9.99	AUD	S	264662915	Blitzkrieg	Theatre of the Damned	ICS Festival Service GmbH		I		AU			16.99	AUD
11/05/2017	12/02/2017	4260131867644		4260131867644	1	7.99	7.99	AUD	S	264667070	Mark Stewart, Adam Sky	We Are All Prostitutes	Exploited		I		AU		CMA	13.99	AUD
11/05/2017	12/02/2017		DEGL60700009	DEGL60700009	-1	1.29	-1.29	AUD	R	264667075	Adam Sky vs Mark Stewart	We Are All Prostitutes (Crookers Rmx)	Exploited		H		AU		CMA-C	-2.19	AUD
11/05/2017	12/02/2017		DEGL60700011	DEGL60700011	-1	1.29	-1.29	AUD	R	264667182	Adam Sky vs Mark Stewart	We Are All Prostitutes (Shadow Dancer Rmx)	Exploited		H		AU		CMA-C	-2.19	AUD
11/05/2017	12/02/2017		DEGL60700014	DEGL60700014	-1	1.29	-1.29	AUD	R	264667244	Adam Sky vs Mark Stewart	We Are All Prostitutes (Princess Superstar Rmx)	Exploited		H		AU		CMA-C	-2.19	AUD
11/05/2017	12/02/2017		DEGL60700016	DEGL60700016	-1	1.29	-1.29	AUD	R	264667304	Adam Sky vs Mark Stewart	Parasite	Exploited		H		AU		CMA-C	-2.19	AUD
11/05/2017	12/02/2017		SEVMN0401401	SEVMN0401401	1	1.29	1.29	AUD	S	265116934	J.Views	Estha	Deeplay Music		H		AU			2.19	AUD
11/05/2017	12/02/2017	4029856462875		4029856462875	1	9.99	9.99	AUD	S	265598688	Lothar Kosse	Zieh mich höher	Gerth Medien		I		AU			16.99	AUD
11/05/2017	12/02/2017		DEZ650710322	DEZ650710322	1	1.29	1.29	AUD	S	266362610	Sin With Sebastian	Shut Up (And Sleep With Me)	Lipstick Confusion (LipCon)		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650710187	DEZ650710187	1	0.99	0.99	AUD	S	266443962	Ghosting	Lion King	Alice In...		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEFN60702712	DEFN60702712	1	1.29	1.29	AUD	S	269516783	Lizard, Bruce Brookshire	Gimme Some Loving (feat. Bruce Brookshire)	Art Beat Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650714350	DEZ650714350	1	0.99	0.99	AUD	S	271802246	Birth Control	She's Got Nothing on You	NiWo Music		H		AU			1.69	AUD
11/05/2017	12/02/2017		GBLKJ0800014	gblkj0800014	13	0.99	12.87	AUD	S	272433533	Peter Sarstedt	Where Do You Go to (My Lovely)	Singer Records		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650711024	DEZ650711024	1	0.99	0.99	AUD	S	272530838	A Spell Inside	Naked	Scanner		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650711025	DEZ650711025	1	0.99	0.99	AUD	S	272530840	A Spell Inside	Pressure	Scanner		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650711027	DEZ650711027	1	0.99	0.99	AUD	S	272530856	A Spell Inside	Fields	Scanner		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650711030	DEZ650711030	1	0.99	0.99	AUD	S	272530864	A Spell Inside	Believe	Scanner		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650711031	DEZ650711031	1	0.99	0.99	AUD	S	272530865	A Spell Inside	Let Go	Scanner		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650711034	DEZ650711034	1	0.99	0.99	AUD	S	272530868	A Spell Inside	Resist	Scanner		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650714391	DEZ650714391	1	0.99	0.99	AUD	S	272732839	Birth Control	Buy	NiWo Music		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650714394	DEZ650714394	1	0.99	0.99	AUD	S	272732856	Birth Control	Gamma Ray	NiWo Music		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650714373	DEZ650714373	1	0.99	0.99	AUD	S	273189633	Birth Control	Trial Trip	NiWo Music		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650714374	DEZ650714374	2	0.99	1.98	AUD	S	273189699	Birth Control	This SOng Is Just for You	NiWo Music		H		AU			1.69	AUD
11/05/2017	12/02/2017		GBFNF0700029	GBFNF0700029	1	1.29	1.29	AUD	S	273845089	Skool of Thought, Ed Solo & Skool of Thought, Ed Solo	Life Gets Better	Against The Grain		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH330601344	DEH330601344	1	1.29	1.29	AUD	S	274224872	Zina Rao	Spiritual Dreams (feat. Chillwalker)	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH330701915	DEH330701915	1	1.29	1.29	AUD	S	274224939	Chillwalker	4 My Roots	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		FR2VZ9900113	FR2VZ9900113	3	1.29	3.87	AUD	S	275008539	Onra	The Anthem	Favorite		H		AU			2.19	AUD
11/05/2017	12/02/2017		FR2VZ9900113	FR2VZ9900113	1	1.29	1.29	AUD	S	275008539	Onra	The Anthem	Favorite		H		NZ			2.39	NZD
11/05/2017	12/02/2017		FR2VZ9900120	FR2VZ9900120	1	1.29	1.29	AUD	S	275008546	Onra	I Wanna Go Back	Favorite		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH330701907	DEH330701907	1	1.29	1.29	AUD	S	275123747	Noise Boyz	The First Dreamer	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEG020212213	DEG020212213	1	1.29	1.29	AUD	S	275807350	van der Sandt, Johann; University of Pretoria Camerata	Shosholoza (feat. Johann, University of Pretoria Camerata, van der Sandt & Willemien)	prospect		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEG020617409	DEG020617409	1	1.29	1.29	AUD	S	276023655	van der Sandt, Johann; du Plessis, Charl; Botha, Marc; van Sittert, Bertus; University of Pretoria Camerata	Khutso	prospect		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEG020617409	DEG020617409	1	1.29	1.29	AUD	S	276023655	van der Sandt, Johann; du Plessis, Charl; Botha, Marc; van Sittert, Bertus; University of Pretoria Camerata	Khutso	prospect		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEG020617413	DEG020617413	1	1.29	1.29	AUD	S	276023676	van der Sandt, Johann; University of Pretoria Camerata	Thula Sizwe	prospect		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEG020516101	DEG020516101	1	1.29	1.29	AUD	S	276030236	University of Pretoria Concert Choir	Skhandamayrza	prospect		H		NZ			2.39	NZD
