countryOfSale,label,product,uri,upc,ean,isrc,title,author,composer,album,quantity,revenueTotal
TR,Blue Pearls Music,FAM6,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,3,0.003242563112
DE,Blue Pearls Music,A,spotify:track:0011yBpUQQeh5JuOD3tEpu,,4047179038027,DEDK10901005,Hand Up,Muriel Zoe,N/A,Flood,1,0.001250307963
EE,Umblu Records,P,spotify:track:0016JLSF8jp5Yo32KTfVgz,,4260166380781,USEVB3400030,Evil Fire Burnin,Kalm,N/A,Generalissimus,14,0.06561972518
EE,Umblu Records,TEESA,spotify:track:0016JLSF8jp5Yo32KTfVgz,,4260166380781,USEVB3400030,Evil Fire Burnin,Kalm,N/A,Generalissimus,1,0.005459422341
EE,Umblu Records,A,spotify:track:0016JLSF8jp5Yo32KTfVgz,,4260166380781,USEVB3400030,Evil Fire Burnin,Kalm,N/A,Generalissimus,1,0.00003741476806
DE,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,134,0.1675412671
DE,Ilian Tape,PDIB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,6,0.0291486117
SG,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,10,0.04796035208
CA,Ilian Tape,ROG-MWA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,6,0.0274101071
DK,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,76,0.6463930948
CL,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.007511837974
BR,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,6,0.001692868617
